PRESIDENT,District #,Vote,Obama D,McCain R,McCain IDC,McCain C,Obama WF,Calero SW,LaRiva S&L,McKinney G,Barr L,Nader Pop,Write-in,Void/Blank
,,,,,,,,,,,,,,
1ST WARD,01|,398,233,122,12,8,9,0,1,0,3,4,0,6
,02|,305,182,99,5,5,3,1,0,1,2,3,0,4
,03|,375,239,92,11,9,5,0,0,0,1,4,0,14
,04|,389,230,107,9,6,16,0,0,0,4,6,0,11
,05|,275,165,75,10,6,6,0,0,0,5,1,0,7
,06|,265,191,50,5,4,5,1,0,1,2,2,0,4
,07|,300,177,94,10,6,5,0,0,0,1,5,0,2
,08|,304,181,94,8,2,8,0,0,0,1,2,0,8
2ND WARD,01|,330,203,91,9,3,10,0,1,0,0,3,0,10
,02|,426,277,103,8,15,6,1,0,3,1,2,0,10
,03|,358,258,62,9,6,13,0,0,1,1,7,0,1
3RD WARD,01|,106,61,35,1,2,3,1,0,0,1,1,0,1
,02|,370,243,95,10,5,6,1,0,2,1,2,0,5
,03|,489,300,140,9,11,8,0,0,2,5,4,0,10
,04|,370,219,99,13,6,16,2,0,0,2,3,0,10
,05|,369,198,125,12,9,11,3,2,2,3,2,1,1
,06|,425,284,99,7,11,11,0,0,2,1,5,0,5
,07|,460,258,150,8,17,12,0,0,3,3,4,0,5
4TH WARD,01|,416,297,88,6,12,4,0,0,0,4,2,0,3
,02|,420,247,112,8,22,14,1,0,1,2,0,0,13
,03|,509,290,172,17,9,9,0,0,1,3,5,0,3
,04|,416,200,173,14,10,6,1,0,1,4,1,0,6
,05|,534,329,164,7,12,14,0,0,2,3,1,0,2
,06|,394,225,132,11,10,10,0,0,0,4,1,0,1
,07|,417,237,140,8,12,7,2,0,2,3,6,0,0
,08|,567,390,119,10,11,16,0,0,1,2,8,0,10
,09|,420,261,104,9,8,12,0,0,3,5,10,0,8
,10|,381,252,84,9,9,10,0,0,1,2,6,0,8
,11|,290,194,71,6,4,5,2,1,0,1,4,0,2
5TH WARD,01|,606,405,139,13,8,24,0,0,2,4,5,0,6
,02|,322,179,108,10,7,6,0,0,1,1,7,0,3
,04|,491,307,126,13,18,12,0,0,2,4,6,0,3
,05|,394,236,118,11,7,12,0,0,1,2,6,0,1
,06|,516,337,122,10,10,23,0,0,2,3,6,0,3
,07|,509,298,136,18,18,11,0,0,2,8,11,0,7
,08|,0,0,0,0,0,0,0,0,0,0,0,0,0
,09|,460,256,137,21,16,16,0,0,3,4,3,0,4
,10|,564,356,151,15,8,19,1,0,0,2,6,1,5
,11|,501,316,139,7,13,10,0,0,0,1,8,0,7
6TH WARD,01|,461,367,60,7,6,8,1,0,4,1,3,0,4
,02|,481,357,88,6,3,11,0,0,5,0,6,0,5
,03|,367,257,72,6,6,11,0,0,1,1,4,0,9
,04|,189,141,39,2,1,2,0,0,0,0,2,0,2
,05|,400,245,118,8,10,8,0,0,0,0,3,0,8
,06|,269,178,70,7,1,4,0,0,2,2,3,0,2
,07|,370,232,96,10,9,12,1,0,1,0,2,0,7
7TH WARD,01|,312,195,91,8,4,6,1,0,0,0,4,0,3
,02|,397,247,104,5,6,17,0,0,0,3,9,0,6
,03|,363,222,101,6,8,8,2,0,1,5,2,0,8
,04|,277,165,83,7,8,6,0,0,0,2,6,0,0
8TH WARD,01|,345,305,17,0,1,8,0,0,0,1,0,0,13
,02|,446,276,123,11,14,8,0,0,0,4,5,0,5
,03|,216,169,24,0,3,9,1,0,1,2,1,0,6
,04|,174,121,37,2,5,5,0,0,0,0,2,0,2
,05|,458,296,114,16,9,5,0,0,2,2,10,0,4
9TH WARD,01|,310,231,57,6,6,1,0,0,0,2,2,0,5
,02|,432,302,106,4,4,11,0,0,0,3,2,0,0
,03|,41,31,5,0,1,1,0,0,0,2,1,0,0
,05|,448,412,7,1,1,21,0,0,0,0,1,0,5
10TH WARD,01|,237,178,42,3,6,4,2,0,0,0,0,0,2
,02|,27,22,0,1,0,1,0,0,0,0,0,0,3
,03|,400,336,34,4,3,17,0,0,2,1,0,0,3
,04|,292,270,7,0,4,6,0,0,0,0,3,0,2
,05|,271,219,36,2,5,5,0,0,0,0,1,0,3
11TH WARD,01|,282,208,46,5,6,5,3,0,1,2,2,0,4
,02|,339,242,57,6,8,13,0,1,0,1,4,0,7
,03|,433,310,83,5,7,17,0,2,0,0,6,0,3
,04|,371,253,90,5,7,8,0,0,1,4,2,0,1
,05|,227,178,22,3,1,16,0,0,1,1,1,0,4
,06|,91,68,11,3,3,4,0,0,0,1,0,0,1
,07|,428,219,179,9,7,3,0,0,1,1,5,0,4
,08|,438,272,124,6,10,9,1,1,3,3,7,0,2
12TH WARD,01|,514,477,12,3,1,15,0,0,0,0,2,0,4
,02|,276,266,5,0,1,2,0,0,0,0,0,0,2
,03|,43,33,8,0,2,0,0,0,0,0,0,0,0
,04|,458,377,61,2,3,7,0,0,1,1,1,0,5
,05|,331,239,55,3,20,11,1,0,0,0,1,0,1
,06|,438,316,85,5,11,6,0,1,1,2,6,0,5
13TH WARD,01|,588,512,42,5,3,20,0,0,0,0,0,0,6
,02|,306,254,36,2,1,5,0,0,0,1,5,0,2
,03|,515,358,105,8,13,20,0,0,2,1,4,0,4
,04|,426,300,84,8,8,15,0,0,1,2,5,0,3
,05|,590,452,93,8,11,11,0,1,1,3,4,1,5
,06|,576,527,29,1,4,9,0,0,1,0,0,0,5
,07|,71,54,14,1,0,2,0,0,0,0,0,0,0
,08|,298,214,59,4,5,10,0,0,0,0,5,0,1
,09|,365,229,102,5,11,8,0,0,2,1,5,0,2
,10|,452,315,93,5,21,4,0,0,4,1,5,0,4
14TH WARD,01|,378,348,16,0,1,7,0,0,0,0,2,0,4
,02|,336,295,27,2,1,7,0,0,0,1,0,0,3
,03|,544,472,44,1,9,11,1,0,0,0,2,0,4
,04|,472,385,58,3,5,9,0,0,2,0,4,0,6
,05|,233,147,71,1,7,3,0,0,0,0,0,0,4
,06|,532,331,145,9,12,13,0,0,0,5,10,0,7
,07|,513,269,188,14,21,10,0,0,0,3,3,0,5
,08|,412,327,49,7,7,12,0,0,0,0,5,0,5
,09|,399,272,103,4,5,6,0,0,3,3,3,0,0
,10|,357,284,43,3,6,9,0,0,0,0,0,1,11
,11|,553,355,140,9,19,15,0,0,2,1,6,0,6
,12|,452,290,118,11,11,4,0,0,0,2,6,0,10
,13|,195,142,38,3,3,4,0,0,0,0,1,0,4
15TH WARD,02|,66,52,6,0,1,4,0,0,0,0,3,0,0
,03|,181,141,30,4,1,1,0,0,0,0,3,0,1
,04|,111,110,0,0,0,1,0,0,0,0,0,0,0
16TH WARD,01|,889,720,114,16,7,18,0,0,1,5,0,0,8
,02|,227,180,20,3,6,11,0,0,1,0,1,0,5
,03|,319,261,25,1,3,24,0,0,0,3,1,0,1
,04|,709,571,84,11,4,14,0,0,3,3,3,0,16
,05|,491,392,43,3,5,32,0,0,5,3,4,0,4
17TH WARD,01|,439,331,45,8,10,33,0,0,3,1,5,1,2
,02|,458,381,41,3,4,16,0,0,0,3,2,1,7
,03|,402,320,23,0,3,33,1,1,7,2,9,0,3
,04|,419,347,25,2,3,26,0,0,4,3,8,0,1
,05|,374,295,24,3,0,30,1,0,8,2,9,0,2
,06|,409,385,10,0,0,7,0,0,1,0,0,0,6
,07|,591,501,49,4,2,23,0,0,0,1,4,0,7
,08|,397,325,50,0,2,15,0,0,1,2,1,1,0
,09|,533,411,83,4,3,25,0,0,1,3,1,0,2
,10|,519,463,39,4,0,4,0,0,0,0,2,0,7
,11|,357,318,18,2,3,10,0,0,0,0,0,0,6
,12|,456,359,54,6,7,13,0,0,1,3,11,0,2
,13|,484,343,99,4,10,16,1,0,1,1,6,0,3
,14|,474,413,36,1,3,13,0,0,0,1,2,0,5
,15|,614,449,117,6,14,16,1,0,2,3,4,0,2
,16|,395,302,58,3,6,17,0,0,0,2,3,0,4
,17|,302,236,45,2,2,6,0,1,1,0,3,0,6
,18|,10,9,1,0,0,0,0,0,0,0,0,0,0
18TH WARD,01|,359,343,6,0,2,4,0,0,1,0,0,0,3
,02|,514,468,18,3,4,16,0,0,0,0,0,0,5
19TH WARD,01|,445,417,13,2,1,9,0,0,0,1,0,0,2
,02|,405,360,16,0,3,19,0,0,0,1,2,0,4
,03|,867,699,115,9,7,14,0,0,1,5,5,0,12
,04|,373,350,12,1,0,4,0,1,0,0,1,0,4
,05|,492,451,18,0,2,12,0,0,1,1,0,0,7
,06|,541,430,50,4,5,26,0,0,2,3,9,1,11
,07|,349,266,42,2,5,21,0,0,0,4,5,0,4
,08|,267,190,43,6,5,15,1,0,1,0,3,0,3
WARD   TOTAL,|,52894,38464,9805,787,883,1466,36,14,134,226,456,8,615
,,,,,,,,,,,,,,
PRESIDENT,District #,Vote,Obama D,McCain R,McCain IDC,McCain C,Obama WF,Calero SW,LaRiva S&L,McKinney G,Barr L,Nader Pop,Write-in,Void/Blank
,,,,,,,,,,,,,,
CAMILLUS,01|,665,293,307,15,27,14,0,0,0,2,5,0,2
,02|,790,390,319,28,21,15,0,0,0,5,7,0,5
,03|,283,152,110,3,5,3,1,0,0,3,4,0,2
,04|,595,328,200,13,23,13,0,0,1,6,7,0,4
,05|,623,297,260,16,22,7,0,0,3,3,7,0,8
,06|,434,223,153,11,18,12,0,0,2,5,4,0,6
,07|,1022,441,456,32,43,23,0,1,2,9,9,0,6
,08|,292,156,110,5,11,3,0,0,0,0,1,0,6
,09|,503,283,183,8,14,7,0,0,0,4,0,0,4
,10|,513,288,186,10,8,4,0,0,0,8,4,0,5
,11|,551,270,199,17,21,15,1,0,0,9,12,0,7
,12|,336,188,113,13,7,4,1,0,0,2,5,0,3
,13|,581,291,205,11,25,17,1,0,3,6,12,0,10
,14|,459,208,202,10,16,1,0,0,2,5,3,0,12
,15|,579,292,231,7,19,14,1,0,0,3,6,0,6
,16|,614,327,223,12,19,14,0,0,1,4,10,0,4
,17|,424,205,165,10,21,5,2,1,2,6,4,0,3
,18|,527,268,209,8,21,9,0,0,0,5,1,0,6
,19|,470,216,218,10,18,1,0,0,0,2,1,0,4
,20|,503,241,176,10,26,17,0,0,1,2,5,1,24
,21|,345,168,137,12,9,8,1,0,1,3,4,0,2
,22|,387,200,151,2,13,7,0,1,1,6,0,0,6
,23|,434,187,188,11,16,11,0,0,1,4,8,0,8
,24|,548,267,234,9,18,6,1,0,1,2,3,0,7
,25|,430,253,127,13,11,10,0,0,2,6,6,0,2
,26|,750,386,278,13,24,20,0,0,3,9,11,0,6
CICERO,01|,316,151,121,11,16,9,1,0,0,2,3,0,2
,02|,647,297,274,28,30,9,0,0,0,2,3,0,4
,03|,559,294,208,16,17,12,0,0,0,0,7,0,5
,04|,762,351,321,17,26,20,1,1,2,7,9,0,7
,05|,506,260,193,15,14,9,0,0,0,6,3,0,6
,06|,386,193,135,14,11,15,1,0,4,3,6,0,4
,07|,625,282,272,25,21,12,0,0,0,4,5,0,4
,08|,566,253,263,16,15,8,0,0,0,1,7,0,3
,09|,302,163,104,6,11,3,0,0,0,2,9,0,4
,10|,470,205,209,13,14,15,1,0,1,4,4,0,4
,11|,430,198,184,17,12,1,0,0,1,6,9,0,2
,12|,675,372,240,15,15,15,0,0,2,3,4,1,8
,13|,607,312,225,20,15,14,1,0,0,5,4,0,11
,14|,565,295,228,11,11,4,0,0,0,4,6,0,6
,15|,359,163,161,4,11,10,0,0,1,2,6,0,1
,16|,1087,489,490,35,36,21,0,0,1,7,3,0,5
ç,17|,573,281,228,18,20,13,0,1,1,1,7,0,3
ç,18|,247,125,96,4,6,5,0,0,2,2,2,0,5
ç,19|,605,321,238,14,14,14,0,0,0,1,3,0,0
ç,20|,365,167,166,10,12,6,0,0,0,3,1,0,0
ç,21|,638,280,281,16,36,13,0,0,1,3,5,0,3
ç,22|,244,138,73,7,9,7,0,0,0,2,3,0,5
ç,23|,564,270,235,18,18,9,0,0,1,3,5,0,5
ç,24|,658,357,246,11,18,18,0,0,0,1,4,0,3
ç,25|,599,319,225,18,13,18,0,0,0,1,3,0,2
ç,26|,640,318,255,19,22,11,2,0,1,5,4,0,3
ç,27|,511,286,181,13,15,7,0,0,1,2,1,0,5
ç,28|,662,351,249,13,22,16,0,0,1,3,4,0,3
CLAY,01|,616,260,285,11,27,12,2,0,1,5,9,0,4
ç,02|,501,258,169,21,16,19,0,0,1,7,4,0,6
ç,03|,652,352,227,21,25,13,0,0,0,6,6,0,2
ç,04|,656,360,226,15,31,9,0,1,0,6,3,0,5
ç,05|,286,161,100,7,9,1,1,0,1,2,3,0,1
ç,06|,397,197,140,16,15,11,1,0,2,2,6,0,7
ç,07|,540,270,211,23,18,7,0,0,0,3,3,0,5
ç,08|,373,189,148,15,9,2,0,0,0,0,3,0,7
ç,09|,395,199,150,7,10,18,0,0,1,2,4,0,4
ç,10|,468,232,170,14,17,19,0,0,1,3,11,0,1
ç,11|,506,287,162,14,12,15,2,1,0,1,6,1,5
ç,12|,661,312,289,18,17,14,0,1,0,3,5,0,2
ç,13|,434,221,166,10,19,7,0,0,0,4,7,0,0
ç,14|,600,293,245,16,19,10,0,0,1,5,6,0,5
ç,15|,961,697,192,16,18,15,2,0,4,7,6,0,4
ç,16|,509,271,178,11,21,7,0,0,3,2,5,3,8
ç,17|,456,210,190,12,13,15,0,0,0,4,9,0,3
ç,18|,585,308,222,14,17,8,0,0,0,6,5,0,5
ç,19|,492,219,200,17,23,7,1,0,0,8,9,0,8
ç,20|,426,210,164,12,16,15,0,0,0,4,4,0,1
ç,21|,574,298,211,16,24,7,0,0,2,3,8,0,5
ç,22|,554,301,200,13,14,8,1,0,0,5,5,0,7
ç,23|,487,291,147,7,19,10,0,0,1,2,4,0,6
ç,24|,310,191,92,3,5,6,0,0,2,4,3,0,4
ç,25|,452,258,144,6,19,15,1,0,0,2,3,0,4
ç,26|,605,327,226,12,19,9,0,0,0,3,4,0,5
ç,27|,600,241,294,15,22,17,0,0,1,2,6,1,1
ç,28|,545,316,179,10,14,10,0,0,1,2,7,0,6
ç,29|,569,262,231,14,27,12,0,0,2,4,11,0,6
ç,30|,374,195,131,8,17,13,0,0,1,4,3,0,2
ç,31|,442,218,173,11,14,12,0,0,0,3,9,0,2
ç,32|,577,257,276,14,15,5,0,0,3,3,2,0,2
ç,33|,704,382,246,18,11,27,0,0,1,8,4,0,7
,34|,657,361,224,23,19,13,0,2,1,4,5,0,5
,35|,588,306,229,8,19,14,0,0,1,1,5,0,5
,36|,440,255,144,13,7,7,1,0,0,6,3,0,4
,37|,379,170,165,11,18,9,0,0,1,4,1,0,0
,38|,495,274,170,14,8,15,0,1,1,3,4,0,5
,39|,915,531,292,20,12,38,1,0,1,6,11,0,3
,40|,407,198,163,6,17,13,0,0,0,3,5,0,2
,41|,359,206,124,10,8,5,0,0,1,0,4,0,1
,42|,631,358,214,13,16,14,0,1,0,6,6,0,3
,43|,706,417,217,22,18,15,0,0,1,9,2,0,5
,44|,764,406,292,17,27,10,1,0,1,2,3,0,5
,45|,557,286,202,8,21,22,0,0,0,4,12,0,2
,46|,723,348,304,19,29,14,0,0,0,2,4,0,3
,47|,679,381,252,13,19,7,0,0,0,4,1,0,2
,48|,606,358,190,15,16,14,0,0,2,4,5,0,2
,49|,752,395,293,20,23,9,0,0,0,3,5,0,4
,50|,928,516,327,24,29,19,0,0,0,4,5,0,4
,51|,844,418,344,22,24,11,0,0,1,5,12,0,7
DEWITT,01|,533,281,202,8,25,5,0,0,0,3,3,0,6
,02|,684,434,195,7,13,12,0,0,2,2,4,0,15
,03|,554,360,148,13,12,9,0,1,1,5,1,0,4
,04|,598,346,209,13,15,7,0,0,0,1,5,0,2
,05|,594,368,171,9,11,11,0,0,0,5,8,0,11
,06|,607,325,250,11,7,7,0,0,0,3,1,0,3
,07|,393,230,117,11,10,10,2,0,0,4,4,1,4
,08|,375,187,143,13,14,8,1,1,0,2,2,0,4
,09|,380,214,109,14,13,11,0,0,3,5,6,0,5
,10|,587,357,174,8,20,15,0,0,3,2,2,0,6
,11|,425,224,140,15,12,11,1,0,3,6,9,0,4
,12|,499,237,206,15,18,10,0,0,0,1,6,0,6
,13|,356,190,129,7,9,8,0,0,1,1,0,0,11
,14|,395,290,72,6,10,9,0,0,0,1,1,0,6
,15|,456,236,171,13,11,10,0,1,2,2,4,0,6
,16|,344,210,103,10,7,4,0,0,1,2,1,0,6
,17|,206,124,52,4,8,11,0,0,0,1,1,0,5
,18|,445,254,148,5,10,10,1,0,0,5,5,0,7
,19|,636,323,244,16,21,8,0,0,0,2,6,1,15
,20|,585,287,217,24,27,12,0,2,2,3,5,0,6
,21|,682,393,211,11,16,25,1,0,3,3,9,0,10
,22|,405,299,76,7,5,8,0,1,1,0,6,1,1
,23|,746,393,285,14,16,24,0,0,2,2,1,0,9
,24|,561,369,149,9,12,9,1,0,0,3,3,0,6
,25|,474,271,139,16,15,14,0,0,0,3,7,0,9
,26|,442,254,137,16,12,4,0,0,2,2,8,0,7
,27|,395,213,161,10,3,6,1,0,0,0,0,0,1
ELBRIDGE,01|,525,238,219,12,17,15,0,0,2,5,12,0,5
,02|,475,233,168,14,28,15,1,0,0,0,5,0,11
,03|,639,281,261,21,29,18,1,0,0,5,12,0,11
,04|,288,129,117,10,11,9,1,0,0,5,2,0,4
,05|,440,190,189,16,17,11,0,0,0,3,10,0,4
,06|,454,214,188,13,18,11,0,0,0,3,2,0,5
FABIUS,01|,667,312,285,18,23,7,1,0,0,4,1,4,12
,02|,410,196,170,12,21,5,0,0,1,0,1,1,3
GEDDES,01|,384,191,148,9,14,8,1,0,1,2,5,0,5
,02|,325,158,124,9,8,8,1,0,1,3,6,0,7
,03|,338,191,122,6,9,3,0,1,0,1,1,0,4
,04|,316,143,137,7,11,4,0,1,0,2,4,0,7
,05|,615,297,258,19,10,12,0,0,4,1,8,0,6
,06|,551,287,210,14,8,9,2,1,1,3,3,0,13
,07|,522,265,208,11,10,10,2,0,0,5,5,0,6
,08|,641,354,222,15,19,10,1,0,1,5,3,0,11
,09|,234,111,93,12,8,2,0,0,0,0,4,0,4
,10|,472,263,160,12,9,13,0,0,0,6,8,0,1
,11|,453,232,175,11,11,11,0,0,1,4,2,0,6
,12|,464,232,192,9,13,4,0,0,0,2,2,0,10
,13|,384,192,161,8,6,4,2,4,0,2,3,0,2
,14|,405,215,153,12,6,6,0,0,0,3,2,0,8
,15|,621,341,222,11,17,8,1,0,1,5,10,0,5
,16|,435,247,153,7,12,8,0,0,0,0,4,0,4
,17|,641,311,248,18,25,19,1,1,0,2,7,0,9
,18|,399,186,155,13,22,15,0,1,1,3,2,0,1
,19|,222,117,70,8,10,14,0,0,1,1,1,0,0
,20|,504,225,219,17,11,10,1,2,0,4,9,0,6
,21|,448,247,162,11,11,11,0,0,1,1,2,1,1
LAFAYETTE,01|,364,144,156,14,24,10,0,0,1,6,7,0,2
,02|,667,271,310,24,38,6,0,0,4,3,4,0,7
,03|,665,310,284,20,22,12,0,0,1,2,8,0,6
,04|,542,242,213,15,36,14,0,0,0,13,3,0,6
,05|,560,255,250,15,17,9,0,1,1,2,5,0,5
LYSANDER,01|,587,250,266,14,31,9,1,0,2,7,5,0,2
,02|,474,215,199,17,23,9,0,0,0,5,5,0,1
,03|,524,222,227,25,22,9,1,0,1,4,9,0,4
,04|,390,190,156,10,18,5,0,0,2,3,3,0,3
,05|,424,224,150,7,10,10,1,0,0,6,8,0,8
,06|,424,200,188,11,15,3,0,0,2,3,1,0,1
,07|,433,227,168,11,8,11,0,0,0,1,5,1,1
,08|,845,380,368,25,32,23,0,0,2,5,3,1,6
,09|,567,254,248,16,27,12,0,1,1,2,4,0,2
,10|,342,170,131,8,13,8,0,1,1,4,2,0,4
,11|,443,220,176,14,15,8,0,0,0,5,2,0,3
,12|,618,316,239,14,22,8,0,0,0,10,5,0,4
,13|,755,379,313,16,19,14,0,0,1,9,3,0,1
,14|,381,196,159,7,7,4,0,0,0,4,1,1,2
,15|,542,219,281,12,17,10,0,0,0,3,0,0,0
,16|,583,283,243,10,22,11,0,0,0,4,6,0,4
,17|,467,250,169,11,11,9,0,0,1,3,5,0,8
,18|,552,285,225,12,19,3,0,0,0,4,1,0,3
,19|,907,423,410,23,18,14,0,0,2,7,4,0,6
,20|,930,431,405,24,37,13,0,0,0,9,2,0,9
MANLIUS,01|,583,250,234,24,35,15,1,0,1,3,9,0,11
,02|,671,347,249,20,17,13,2,1,3,1,7,0,11
,03|,527,249,220,19,13,9,1,0,0,5,3,0,8
,04|,495,283,171,11,9,11,0,0,0,3,5,0,2
,05|,428,255,129,15,12,9,0,0,0,3,0,0,5
,06|,324,177,126,3,6,6,0,0,0,0,5,0,1
,07|,532,294,177,12,24,7,0,1,2,6,4,0,5
,08|,571,312,212,13,19,11,1,0,0,0,1,0,2
,09|,569,273,228,15,21,18,0,0,1,5,1,0,7
,10|,738,378,266,22,31,16,2,0,0,5,10,0,8
,11|,482,257,186,17,13,3,0,0,1,2,1,0,2
,12|,642,352,235,13,21,8,0,0,2,2,5,0,4
,13|,344,181,128,5,12,3,0,0,0,5,3,1,6
,14|,571,305,220,10,13,7,0,0,3,2,5,0,6
,15|,432,192,181,14,20,9,0,0,0,6,0,0,10
,16|,619,349,213,13,16,12,1,0,1,3,8,0,3
,17|,578,313,216,5,19,11,0,0,0,7,4,0,3
,18|,611,304,253,12,22,4,0,0,4,4,5,0,3
,19|,350,191,126,6,10,9,0,0,0,2,1,0,5
,20|,460,276,152,10,11,5,0,0,1,2,1,0,2
,21|,525,329,147,14,10,9,2,0,1,0,7,2,4
,22|,680,369,255,14,22,4,1,1,0,3,4,0,7
,23|,446,260,156,4,9,6,0,0,0,3,5,0,3
,24|,645,310,253,15,31,16,1,0,1,6,7,0,5
,25|,656,350,243,15,20,8,1,0,1,8,5,0,5
,26|,664,391,222,10,17,9,1,0,1,5,3,0,5
,27|,506,266,191,9,16,4,0,0,2,6,6,0,6
,28|,463,219,194,14,13,17,0,0,0,2,2,0,2
,29|,375,187,146,14,9,10,0,0,0,4,1,0,4
,30|,449,210,200,8,13,4,0,0,0,5,1,0,8
,31|,685,351,283,13,22,10,0,0,0,3,2,0,1
,32|,422,241,142,7,13,4,0,0,2,3,0,0,10
,33|,570,327,210,4,13,5,0,0,0,1,1,0,9
,34|,592,319,229,8,16,6,0,0,0,3,5,0,6
,35|,588,270,287,7,15,1,0,0,0,5,1,0,2
MARCELLUS,01|,530,322,167,11,10,9,0,0,1,1,4,0,5
,02|,521,224,234,6,23,13,0,0,2,2,0,0,17
,03|,545,270,220,11,17,14,0,0,1,3,6,0,3
,04|,652,330,254,13,28,13,0,0,2,2,8,0,2
,05|,684,349,254,26,25,13,0,1,0,4,8,0,4
,06|,713,338,288,32,25,13,0,0,2,4,8,0,3
ONONDAGA,01|,514,213,233,8,28,15,0,0,1,2,7,0,7
,02|,731,360,313,16,13,13,0,1,2,3,5,0,5
,03|,662,333,267,15,29,6,1,0,1,2,5,0,3
,04|,600,320,201,17,20,17,0,1,0,2,12,1,9
,05|,744,430,232,21,18,22,2,0,0,6,4,1,8
,06|,507,251,191,15,22,11,1,0,1,4,4,0,7
,07|,296,134,123,7,16,6,0,0,0,6,2,0,2
,08|,383,249,94,13,13,7,0,0,0,0,5,0,2
,09|,726,364,287,17,24,18,1,0,3,3,2,0,7
,10|,552,229,223,22,29,22,1,0,4,5,11,0,6
,11|,574,273,238,15,20,9,0,0,0,2,9,0,8
,12|,523,261,207,15,15,9,1,1,1,4,5,0,4
,13|,716,352,292,15,24,9,0,1,1,11,7,0,4
,14|,674,335,259,26,18,13,0,0,1,1,12,0,9
,15|,374,228,121,6,14,1,0,0,1,1,2,0,0
,16|,667,388,219,16,19,7,0,0,1,7,1,0,9
,17|,837,384,356,30,31,10,0,0,2,7,11,0,6
,18|,584,323,201,14,22,9,0,0,0,3,6,0,6
,19|,406,175,170,6,25,10,1,0,2,5,6,2,4
,20|,367,165,146,6,30,4,0,0,1,3,7,0,5
,21|,594,289,231,13,32,10,1,0,1,9,2,0,6
OTISCO,01|,830,322,398,30,36,16,0,0,2,10,9,0,7
,02|,553,237,253,9,24,11,1,0,1,4,7,0,6
POMPEY,01|,693,293,319,16,27,12,0,1,1,5,8,0,11
,02|,567,266,237,16,20,12,0,0,2,4,4,0,6
,03|,700,360,276,21,24,2,0,0,1,6,4,0,6
,04|,741,349,313,17,32,14,0,3,1,1,8,0,3
,05|,647,281,277,17,47,9,1,0,0,3,6,1,5
,06|,615,307,255,7,19,12,0,0,0,1,5,0,9
SALINA,01|,534,274,205,12,17,8,1,0,1,1,6,0,9
,02|,392,212,135,14,16,6,0,0,0,1,4,0,4
,03|,576,296,209,9,26,19,0,0,2,3,8,0,4
,04|,403,231,140,10,6,4,0,1,0,4,3,0,4
,05|,436,265,134,5,7,12,0,1,1,2,6,0,3
,06|,384,250,101,11,8,4,1,0,1,2,3,0,3
,07|,521,278,186,9,11,19,0,0,1,2,6,0,9
,08|,534,262,219,9,16,9,1,0,0,2,5,0,11
,09|,275,170,79,9,4,3,0,0,1,2,4,0,3
